"probe"	"gene"	"CTRL"	"CTRL.1"	"CTRL.2"	"IFN.1"	"IFN.1.1"	"IFN.1.2"	"TNF.1"	"TNF.1.1"	"TNF.1.2"	"TNF.IFN.1"	"TNF.IFN.1.1"	"TNF.IFN.1.2"
"1981"	"SNRPD3"	"SNRPD3"	11.344849454421	11.2756522795798	11.3288898570712	11.0374952969642	11.1358812629228	11.2964806556603	11.0779696194348	11.1736474820987	11.3212643111437	11.0892839443586	11.2671824904219	11.2192131889652
"1982"	"MARK3"	"MARK3"	7.75661995604692	7.75432665833357	7.85845074766921	8.15990905625518	7.96330037380874	8.45677485943538	8.13781397670942	8.28240425548929	8.14369078237848	7.96668959307007	7.88181895229968	7.91561927476635
"1983"	"DLGAP4"	"DLGAP4"	7.61377060367894	7.60532188568357	7.71270784356733	7.61377060367894	7.61377060367894	7.59759231614251	7.75390004435485	7.62019643083888	7.58727181703717	7.61377060367894	7.66111803060395	7.56788608341071
"1984"	"CSNK1G2"	"CSNK1G2"	8.81552992104441	8.57820871436718	9.0297987289641	8.9902782760072	9.31307008613945	9.1288462917554	9.25483819334545	9.22690688003339	9.20131358139958	9.13514508543143	9.02526892956733	9.07267342115765
"1985"	"DDX19A"	"DDX19A"	8.1784788226516	8.34664125741371	8.10339063487382	8.10456292666105	7.91766115691381	8.09268589222138	8.25606416587761	8.23946447171547	8.29330182422396	8.38127744772236	8.29735578712835	8.25146280170662
"1986"	"HMGN4"	"HMGN4"	10.3503724654169	10.8834986298144	10.4120586613615	10.1443916956802	10.4398040261119	10.3628058922741	10.6244027165083	10.7441658550208	10.5273589070072	10.2692582775155	10.5433595557171	10.495802400804
"1987"	"RANBP9"	"RANBP9"	11.263819690053	11.4540026585692	11.4739545397472	11.2069364983481	11.5968393823526	11.4881443833844	11.7163226063707	11.7898424008605	11.5867849330314	11.7297287354025	11.6943728388998	11.6129924212026
"1988"	"POLR2L"	"POLR2L"	12.2895896507459	12.2824418658596	12.1491094073572	12.394956951509	12.3041422175375	12.3601073270355	12.1816568215626	12.0808110188908	12.2827103386714	12.0997578883001	12.2149675703845	12.3150372177339
"1989"	"PDK2"	"PDK2"	5.04557442951175	5.04557442951175	4.88606677254681	5.64713021687561	5.07955432387163	5.04557442951175	5.04557442951175	5.04557442951175	5.15903431205407	5.04557442951175	5.04557442951175	4.87487433871519
"1990"	"BLOC1S1"	"BLOC1S1"	9.2696477652617	9.38892854235712	9.03348308118632	9.23716499752482	9.28065235501981	9.14335251859764	8.89814429094852	8.82628394116434	8.96888809361971	9.03148307032417	9.22246468336273	9.1932520276574
