"probe"	"gene"	"CTRL"	"CTRL.1"	"CTRL.2"	"IFN.2.5"	"IFN.2.5.1"	"IFN.2.5.2"	"TNF.2.5"	"TNF.2.5.1"	"TNF.2.5.2"	"TNF.IFN.2.5"	"TNF.IFN.2.5.1"	"TNF.IFN.2.5.2"
"13"	"AFG3L1P"	"AFG3L1P"	5.10423679163463	5.08763059690917	5.9790682635365	5.64563926227856	5.67445376185146	5.54229965590519	5.18669173819069	5.39976289621773	5.3943518672059	5.91324780681698	5.08266228797186	5.69366569077725
"14"	"PIGX"	"PIGX"	9.02015522768075	8.95540612906954	9.03664154962399	8.26112553365117	8.79913139154276	8.65000512832801	8.83203589247032	8.90588283329693	8.84833398618639	9.02803355499863	9.12948217211927	8.7814711831873
"15"	"TMEM106A"	"TMEM106A"	9.59867013135299	9.38517025181402	9.84145900452904	9.55101630686138	10.42961583903	10.17168630837	10.4765507896634	10.3505760329717	10.3741778492073	10.3548928757534	9.89502426016498	10.2683670392588
"16"	"ALG10"	"ALG10"	4.16965673819236	4.21617845298884	4.14202113373332	4.38722726784541	5.10434957240383	5.01265576787702	3.43836652525805	4.01011398546802	3.78335079882655	4.96114835788257	4.8898441498873	4.39457616418418
"17"	"TTC39C"	"TTC39C"	7.64950169622669	7.88118560199176	7.51537958612706	7.99828875536535	7.78421077833069	8.00328011760562	7.56427478971766	7.7716256767182	7.6808608470456	7.83576168154261	7.85760908339911	7.90905236807692
"18"	"NEXN"	"NEXN"	3.20809661535298	2.71274790769558	2.93637283069276	6.1138123168027	5.52348581763545	5.99052923260123	9.61462694619542	9.59419275368892	9.38895464508393	3.46686914127397	3.22574230943591	3.20604677823716
"19"	"C15orf40"	"C15orf40"	8.25509755291631	8.34797288345407	8.19313050419217	8.23727134243642	8.26634411680722	8.430095909228	7.32186112118009	7.19139775268822	7.3096495724669	8.2344928837066	8.10625331321379	8.10763145939438
"20"	"RAX2"	"RAX2"	5.18260381343828	5.18260381343828	5.27775237134237	5.18260381343828	5.18260381343828	5.18338050184563	5.18260381343828	5.18260381343828	5.18260381343828	5.11424326491392	5.18260381343828	5.18260381343828
"21"	"MFAP3"	"MFAP3"	7.87724730033674	7.97156882956391	7.96725618691994	8.63206258861961	8.06967626628373	8.09024530676015	7.85924641842737	7.92607164150994	7.83304765033584	7.97700126128329	8.16449640765334	8.14668365590114
"22"	"GIMAP1"	"GIMAP1"	3.7196524909131	3.69817604886816	3.58720400998076	8.03905100991933	8.40646631349162	8.33068814722051	5.85755035763201	6.00057869152645	5.7804966066982	7.79398947884302	8.03099065252022	8.0160222673493
"23"	"FAM122C"	"FAM122C"	5.14993486982916	5.18025662358176	5.1500922998682	5.14906222919817	5.1500922998682	5.33584737741776	5.24673634715154	5.20373773858829	5.41389865883044	5.14993486982916	5.1500922998682	5.1500922998682
"24"	"RBBP6"	"RBBP6"	8.59513189237515	7.97248161589474	8.77009343197325	9.78857155237795	9.68987739578928	9.60200830263145	10.6550345918313	10.7796645438795	10.6064511702044	9.30829963492105	8.94338094980954	9.40885170203685
"25"	"CENPBD1"	"CENPBD1"	5.62964595086805	5.8508131536648	5.89273932892905	6.40297822797303	7.09582281681675	7.05599762167099	4.48068216111745	4.02036970439423	4.19454453409703	6.87446256524919	6.64181665411079	6.75528787748008
"26"	"TRIOBP"	"TRIOBP"	8.99091637292387	8.87180008000303	8.99200091925538	8.95344456270185	8.95344456270185	8.90242303950538	8.95344456270185	8.90696214061637	9.04279845495689	8.95613333096586	8.78291179033678	8.9493563681725
